CustomerName,Address,City,State,Notes
Global Trading Co.,789 Pine Rd,New York,TX,"Standard account, no special terms."
"Ingram Micro, Inc.","555 Market St, Floor 12",Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Chen."
"Acme, Inc.","456 Oak Ave
Building A
Floor 9",Houston,TX,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5",New York,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Patel."
Global Trading Co.,"123 Main St, Suite 5",New York,WA,"Standard account, no special terms."
"Acme, Inc.","123 Main St, Suite 5
Building B
Floor 1",Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Chen."
George Weston Bakeries,"555 Market St, Floor 12",Seattle,TX,"Standard account, no special terms."
Johnson's Hardware,"123 Main St, Suite 5",San Francisco,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Chen."
Johnson's Hardware,"9 Riverside Dr
Building C
Floor 6",San Francisco,NY,"Standard account, no special terms."
Global Trading Co.,"123 Main St, Suite 5",Los Angeles,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Stuart."
"Acme, Inc.",9 Riverside Dr,Seattle,FL,"Standard account, no special terms."
Johnson's Hardware,"789 Pine Rd
Building A
Floor 11",Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Smith."
"Great Plains Energy, Inc.",456 Oak Ave,New York,WA,"Standard account, no special terms."
"Acme, Inc.",9 Riverside Dr,Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Chen."
Johnson's Hardware,"123 Main St, Suite 5
Building C
Floor 9",San Francisco,CA,"Standard account, no special terms."
"Ingram Micro, Inc.",321 Elm St,Seattle,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Khan."
Global Trading Co.,"555 Market St, Floor 12",Chicago,TX,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5
Building C
Floor 14",Los Angeles,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Reyes."
"O""Brien Corp",321 Elm St,Chicago,IL,"Standard account, no special terms."
Global Trading Co.,9 Riverside Dr,San Francisco,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Khan."
"Acme, Inc.","789 Pine Rd
Building B
Floor 19",San Francisco,WA,"Standard account, no special terms."
"Acme, Inc.",321 Elm St,Los Angeles,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Nelson."
"Acme, Inc.",789 Pine Rd,Chicago,TX,"Standard account, no special terms."
"Great Plains Energy, Inc.","321 Elm St
Building A
Floor 8",Los Angeles,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Doe."
Smith & Sons,"555 Market St, Floor 12",San Francisco,NY,"Standard account, no special terms."
"Contoso, Ltd.","555 Market St, Floor 12",Chicago,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Hogan."
"O""Brien Corp","789 Pine Rd
Building B
Floor 4",San Francisco,FL,"Standard account, no special terms."
"Northwind Traders, LLC",321 Elm St,Los Angeles,WA,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Patel."
"Northwind Traders, LLC","12 Industrial Way, Unit B",San Francisco,TX,"Standard account, no special terms."
Global Trading Co.,"9 Riverside Dr
Building A
Floor 7",Seattle,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Stuart."
"O""Brien Corp",456 Oak Ave,New York,FL,"Standard account, no special terms."
"Great Plains Energy, Inc.",789 Pine Rd,Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Chen."
Global Trading Co.,"789 Pine Rd
Building B
Floor 3",Seattle,CA,"Standard account, no special terms."
"Ingram Micro, Inc.","555 Market St, Floor 12",Chicago,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Nelson."
"Great Plains Energy, Inc.","555 Market St, Floor 12",Seattle,CA,"Standard account, no special terms."
Smith & Sons,"789 Pine Rd
Building C
Floor 18",Chicago,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Patel."
"Ingram Micro, Inc.","12 Industrial Way, Unit B",San Francisco,NY,"Standard account, no special terms."
"Great Plains Energy, Inc.",321 Elm St,Seattle,FL,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Patel."
Global Trading Co.,"9 Riverside Dr
Building C
Floor 13",Seattle,TX,"Standard account, no special terms."
Johnson's Hardware,"12 Industrial Way, Unit B",Houston,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Stuart."
Global Trading Co.,456 Oak Ave,New York,WA,"Standard account, no special terms."
Johnson's Hardware,"12 Industrial Way, Unit B
Building C
Floor 6",Los Angeles,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Reyes."
"O""Brien Corp","123 Main St, Suite 5",Houston,WA,"Standard account, no special terms."
Smith & Sons,"12 Industrial Way, Unit B",San Francisco,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Khan."
Johnson's Hardware,"123 Main St, Suite 5
Building C
Floor 8",Chicago,IL,"Standard account, no special terms."
Smith & Sons,"555 Market St, Floor 12",San Francisco,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Reyes."
Johnson's Hardware,"123 Main St, Suite 5",Houston,FL,"Standard account, no special terms."
"Northwind Traders, LLC","321 Elm St
Building A
Floor 19",Los Angeles,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
"Great Plains Energy, Inc.",9 Riverside Dr,Houston,CA,"Standard account, no special terms."
"Northwind Traders, LLC","123 Main St, Suite 5",Los Angeles,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Stuart."
George Weston Bakeries,"789 Pine Rd
Building A
Floor 13",Chicago,WA,"Standard account, no special terms."
George Weston Bakeries,"12 Industrial Way, Unit B",Chicago,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Khan."
"Acme, Inc.","555 Market St, Floor 12",Miami,WA,"Standard account, no special terms."
"Northwind Traders, LLC","456 Oak Ave
Building C
Floor 18",Los Angeles,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Reyes."
George Weston Bakeries,321 Elm St,San Francisco,FL,"Standard account, no special terms."
Global Trading Co.,9 Riverside Dr,Miami,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Hogan."
"Ingram Micro, Inc.","321 Elm St
Building A
Floor 12",Houston,TX,"Standard account, no special terms."
Johnson's Hardware,"123 Main St, Suite 5",Houston,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Reyes."
"Acme, Inc.",9 Riverside Dr,Chicago,FL,"Standard account, no special terms."
George Weston Bakeries,"9 Riverside Dr
Building A
Floor 7",New York,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Smith."
George Weston Bakeries,321 Elm St,Seattle,IL,"Standard account, no special terms."
"O""Brien Corp","12 Industrial Way, Unit B",Miami,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
"Ingram Micro, Inc.","555 Market St, Floor 12
Building C
Floor 13",Houston,NY,"Standard account, no special terms."
"Contoso, Ltd.","123 Main St, Suite 5",Chicago,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Smith."
"Northwind Traders, LLC","12 Industrial Way, Unit B",Chicago,WA,"Standard account, no special terms."
"Great Plains Energy, Inc.","555 Market St, Floor 12
Building B
Floor 13",Los Angeles,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Stuart."
"Ingram Micro, Inc.",456 Oak Ave,New York,CA,"Standard account, no special terms."
"Great Plains Energy, Inc.",789 Pine Rd,Miami,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Stuart."
Global Trading Co.,"321 Elm St
Building C
Floor 6",New York,NY,"Standard account, no special terms."
"Ingram Micro, Inc.",321 Elm St,Seattle,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Khan."
"O""Brien Corp",789 Pine Rd,Los Angeles,TX,"Standard account, no special terms."
Johnson's Hardware,"9 Riverside Dr
Building B
Floor 1",Chicago,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Chen."
"Contoso, Ltd.","12 Industrial Way, Unit B",Chicago,WA,"Standard account, no special terms."
"Northwind Traders, LLC",321 Elm St,San Francisco,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Nelson."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B
Building B
Floor 2",Houston,FL,"Standard account, no special terms."
Global Trading Co.,"12 Industrial Way, Unit B",Seattle,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Reyes."
"O""Brien Corp",456 Oak Ave,Houston,WA,"Standard account, no special terms."
"Northwind Traders, LLC","456 Oak Ave
Building C
Floor 5",Seattle,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Hogan."
"Contoso, Ltd.",9 Riverside Dr,Houston,IL,"Standard account, no special terms."
Smith & Sons,"12 Industrial Way, Unit B",New York,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Khan."
Johnson's Hardware,"789 Pine Rd
Building B
Floor 5",Houston,FL,"Standard account, no special terms."
"Contoso, Ltd.",321 Elm St,San Francisco,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Doe."
"Contoso, Ltd.",456 Oak Ave,Miami,IL,"Standard account, no special terms."
"Northwind Traders, LLC","555 Market St, Floor 12
Building A
Floor 4",San Francisco,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Doe."
"Contoso, Ltd.",789 Pine Rd,Chicago,FL,"Standard account, no special terms."
Global Trading Co.,789 Pine Rd,Houston,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Chen."
"O""Brien Corp","321 Elm St
Building A
Floor 18",Houston,FL,"Standard account, no special terms."
George Weston Bakeries,456 Oak Ave,Houston,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Hogan"" Nelson."
"Great Plains Energy, Inc.",789 Pine Rd,Houston,IL,"Standard account, no special terms."
"Great Plains Energy, Inc.","9 Riverside Dr
Building C
Floor 12",Miami,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Chen."
Johnson's Hardware,9 Riverside Dr,Seattle,IL,"Standard account, no special terms."
"Great Plains Energy, Inc.","123 Main St, Suite 5",Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Doe."
"Great Plains Energy, Inc.","555 Market St, Floor 12
Building C
Floor 8",New York,IL,"Standard account, no special terms."
Global Trading Co.,456 Oak Ave,Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
Smith & Sons,"12 Industrial Way, Unit B",Seattle,NY,"Standard account, no special terms."
"Northwind Traders, LLC","555 Market St, Floor 12
Building B
Floor 4",Seattle,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Nelson."
George Weston Bakeries,9 Riverside Dr,Seattle,TX,"Standard account, no special terms."
"Northwind Traders, LLC",9 Riverside Dr,Chicago,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Stuart."
"Contoso, Ltd.","789 Pine Rd
Building B
Floor 11",Chicago,NY,"Standard account, no special terms."
"Contoso, Ltd.","12 Industrial Way, Unit B",Houston,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
"Contoso, Ltd.","12 Industrial Way, Unit B",Los Angeles,TX,"Standard account, no special terms."
George Weston Bakeries,"321 Elm St
Building C
Floor 17",San Francisco,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Smith."
"Great Plains Energy, Inc.",321 Elm St,New York,FL,"Standard account, no special terms."
"Ingram Micro, Inc.",9 Riverside Dr,New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Stuart."
Smith & Sons,"123 Main St, Suite 5
Building A
Floor 17",Houston,NY,"Standard account, no special terms."
George Weston Bakeries,456 Oak Ave,Miami,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Chen."
"O""Brien Corp","123 Main St, Suite 5",Houston,NY,"Standard account, no special terms."
George Weston Bakeries,"123 Main St, Suite 5
Building B
Floor 4",Los Angeles,CA,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Reyes."
"Acme, Inc.",321 Elm St,Miami,FL,"Standard account, no special terms."
Smith & Sons,321 Elm St,New York,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Hogan."
George Weston Bakeries,"555 Market St, Floor 12
Building C
Floor 19",Houston,WA,"Standard account, no special terms."
"O""Brien Corp","555 Market St, Floor 12",Houston,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Chen."
"Great Plains Energy, Inc.",456 Oak Ave,San Francisco,CA,"Standard account, no special terms."
"Contoso, Ltd.","321 Elm St
Building C
Floor 3",Chicago,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Nelson."
"Northwind Traders, LLC",321 Elm St,Seattle,NY,"Standard account, no special terms."
Smith & Sons,9 Riverside Dr,Miami,WA,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Khan."
"Ingram Micro, Inc.","456 Oak Ave
Building B
Floor 3",Houston,WA,"Standard account, no special terms."
"Northwind Traders, LLC",456 Oak Ave,Seattle,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Carlos"" Hogan."
Global Trading Co.,"555 Market St, Floor 12",Chicago,FL,"Standard account, no special terms."
Johnson's Hardware,"555 Market St, Floor 12
Building A
Floor 13",Houston,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Doe."
"Acme, Inc.",456 Oak Ave,Seattle,NY,"Standard account, no special terms."
Johnson's Hardware,"123 Main St, Suite 5",San Francisco,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
"Ingram Micro, Inc.","456 Oak Ave
Building C
Floor 19",Miami,NY,"Standard account, no special terms."
"Great Plains Energy, Inc.",9 Riverside Dr,Houston,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Doe."
Smith & Sons,"123 Main St, Suite 5",Seattle,CA,"Standard account, no special terms."
"O""Brien Corp","12 Industrial Way, Unit B
Building C
Floor 5",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Nelson."
George Weston Bakeries,789 Pine Rd,Los Angeles,TX,"Standard account, no special terms."
"Acme, Inc.","555 Market St, Floor 12",San Francisco,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Smith."
Johnson's Hardware,"555 Market St, Floor 12
Building A
Floor 17",Los Angeles,CA,"Standard account, no special terms."
George Weston Bakeries,"123 Main St, Suite 5",San Francisco,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Hogan."
Global Trading Co.,321 Elm St,New York,CA,"Standard account, no special terms."
"Acme, Inc.","12 Industrial Way, Unit B
Building C
Floor 13",Houston,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Becky"" Patel."
Smith & Sons,9 Riverside Dr,Chicago,FL,"Standard account, no special terms."
Global Trading Co.,"555 Market St, Floor 12",Miami,TX,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Hogan."
"Ingram Micro, Inc.","321 Elm St
Building A
Floor 8",Miami,WA,"Standard account, no special terms."
"O""Brien Corp","555 Market St, Floor 12",Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Beena"" Nelson."
"O""Brien Corp","555 Market St, Floor 12",Houston,CA,"Standard account, no special terms."
"Ingram Micro, Inc.","123 Main St, Suite 5
Building B
Floor 13",San Francisco,CA,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Chen."
"Northwind Traders, LLC",456 Oak Ave,San Francisco,CA,"Standard account, no special terms."
Global Trading Co.,9 Riverside Dr,Chicago,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Doe."
"O""Brien Corp","12 Industrial Way, Unit B
Building C
Floor 14",Houston,TX,"Standard account, no special terms."
"Great Plains Energy, Inc.","555 Market St, Floor 12",New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Aisha"" Reyes."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",Seattle,IL,"Standard account, no special terms."
"Ingram Micro, Inc.","12 Industrial Way, Unit B
Building B
Floor 6",Los Angeles,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Stuart"" Reyes."
Smith & Sons,789 Pine Rd,Chicago,IL,"Standard account, no special terms."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",New York,IL,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Doe."
"Contoso, Ltd.","123 Main St, Suite 5
Building B
Floor 11",Miami,CA,"Standard account, no special terms."
"Acme, Inc.",456 Oak Ave,Los Angeles,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Priya"" Khan."
Smith & Sons,"555 Market St, Floor 12",Seattle,FL,"Standard account, no special terms."
George Weston Bakeries,"555 Market St, Floor 12
Building B
Floor 15",Miami,FL,"Preferred vendor.
Net-30 terms.
Contact: ""Meg"" Stuart."
"Great Plains Energy, Inc.","12 Industrial Way, Unit B",San Francisco,NY,"Standard account, no special terms."
Global Trading Co.,456 Oak Ave,New York,NY,"Preferred vendor.
Net-30 terms.
Contact: ""Wei"" Stuart."
"O""Brien Corp","789 Pine Rd
Building A
Floor 15",San Francisco,IL,"Standard account, no special terms."
"Contoso, Ltd.","123 Main St, Suite 5",Los Angeles,NY,"Preferred vendor.
Net-30 terms.
Contact: ""John"" Nelson."
"Great Plains Energy, Inc.",321 Elm St,Miami,WA,"Standard account, no special terms."
